0.0	|1, 1>
14.483746899999996	|2, 2>
20.5662664	|2, 1>
45.327560500000004	|3, 2>
51.40379800000001	|3, 1>
62.12302770000002	|4, 4>
86.4304917	|4, 2>
92.49835320000001	|4, 1>
95.27096080000003	|5, 5>
113.50796770000001	|5, 4>
137.7735517	|5, 2>
143.8309432	|5, 1>
156.91836159999997	|6, 5>
175.1176765	|6, 4>
180.19560839999997	|7, 7>
199.3330045	|6, 2>
205.37783199999998	|6, 1>
228.76833	|7, 5>
231.9576805	|8, 8>
246.9236709	|7, 4>
262.34893	|8, 7>
271.0803669	|7, 2>
277.11053640000006	|7, 1>
310.7876356	|8, 5>
324.3533437000001	|9, 8>
328.8927205	|8, 4>
352.9824085	|8, 2>
354.0359133000001	|10, 10>
354.6503632	|9, 7>
358.9958260000001	|8, 1>
402.93830080000004	|9, 5>
420.98684770000006	|9, 4>
424.33038999999997	|11, 11>
426.86486370000006	|10, 8>
445.00115170000004	|9, 2>
450.9957232000001	|9, 1>
457.05718320000005	|10, 7>
466.8922261000001	|11, 10>
505.17760080000005	|10, 5>
523.1633277000002	|10, 4>
539.4447684999999	|11, 8>
547.0938717	|10, 2>
547.4038924	|12, 11>
553.0675032000001	|10, 1>
